timestamp_ms,temp_c,humidity_pct,pressure_hpa,label
1779969266286,20.38,80.14,998.2,humid
1779969268365,17.38,77.14,992.2,humid
1779969270455,19.38,79.14,996.2,humid
1779969272544,21.38,81.14,1000.2,humid
1779969274643,18.38,78.14,994.2,humid
1779969276734,21.38,81.14,1000.2,humid
1779969278823,18.38,78.14,994.2,humid
1779969280945,20.38,80.14,998.2,humid
1779969282993,17.38,77.14,992.2,humid
1779969285091,19.38,79.14,996.2,humid
1779969287182,21.38,81.14,1000.2,humid
1779969289262,18.38,78.14,994.2,humid
1779969291356,20.38,80.14,998.2,humid
1779969293441,21.53,77.14,992.2,humid
1779969295537,23.53,79.14,996.2,humid
1779969297621,25.53,90.46,1000.2,humid
1779969299711,23.53,88.46,1012.8,humid
1779969301810,25.53,90.46,1016.8,humid
1779969303898,22.53,87.46,1010.8,humid
1779969305989,24.53,89.46,1014.8,humid
1779969308077,21.53,86.46,1008.8,humid
1779969310171,23.53,88.46,1012.8,humid
1779969312261,25.53,90.46,1016.8,humid
1779969314353,22.53,87.46,1010.8,humid
1779969316437,24.53,89.46,1014.8,humid
1779969318531,21.53,86.46,1008.8,humid
1779969320621,23.53,88.46,1012.8,humid
1779969322709,21.53,86.46,1008.8,humid
1779969324796,23.53,88.46,1012.8,humid
1779969326880,29.87,90.46,1016.8,humid
1779969328981,26.87,87.46,1010.8,humid
1779969331069,28.87,89.46,1014.8,humid
1779969333146,25.87,86.46,1008.8,humid
1779969335243,27.87,95.75,1012.8,humid
1779969337342,29.87,97.75,1016.8,humid
1779969339421,26.87,94.75,1019.4,humid
1779969341523,28.87,96.75,1023.4,humid
1779969343616,25.87,93.75,1017.4,humid
1779969345701,28.87,96.75,1023.4,humid
1779969347837,25.87,93.75,1017.4,humid
1779969349884,27.87,95.75,1021.4,humid
1779969351967,29.87,97.75,1025.4,humid
1779969354062,26.87,94.75,1019.4,humid
1779969356147,28.87,96.75,1023.4,humid
1779969358241,25.87,93.75,1017.4,humid
1779969360330,27.87,95.75,1021.4,humid
